nok_id,fV,R,egim,yontem,fR,fS,U_esit,U_uzman_gorus_agirlikli,U_uzman_denge_arayisi,M0,M1_esit,fE,M2
B019,0.0354,26.48,8.46,gdal_viewshed,0.7848,0.8616,0.5606,0.4255,0.5081,0.0354,0.5606,0.9879,0.616
B020,0.0,-2.42,2.78,gdal_viewshed,0.3546,1.0,0.4516,0.3064,0.4064,0.0,0.4516,0.9877,0.5039
B021,0.0102,8.01,2.98,gdal_viewshed,0.5099,1.0,0.5067,0.3581,0.457,0.0102,0.5067,0.989,0.5538
B022,0.0,-9.36,4.81,gdal_viewshed,0.2513,1.0,0.4172,0.2754,0.3754,0.0,0.4172,0.9541,0.4662
B023,0.0,-7.38,7.53,gdal_viewshed,0.2808,0.8988,0.3933,0.264,0.3539,0.0,0.3933,0.9659,0.4572
B024,0.0045,-6.47,0.19,gdal_viewshed,0.2943,1.0,0.433,0.2905,0.3901,0.0045,0.433,1.0,0.4896
B025,0.0073,-2.76,7.29,gdal_viewshed,0.3495,0.9084,0.4218,0.2902,0.3803,0.0073,0.4218,0.9816,0.485
B026,0.2656,-37.64,8.88,gdal_viewshed,0.0,0.8448,0.3702,0.3018,0.3597,0.2656,0.3702,1.0,0.4486
B027,0.0,-8.59,15.44,gdal_viewshed,0.2627,0.5824,0.2817,0.1953,0.2535,0.0,0.2817,1.0,0.3953
B028,0.0725,-5.38,4.56,gdal_viewshed,0.3105,1.0,0.4611,0.3294,0.4222,0.0725,0.4611,1.0,0.5149
B029,0.0524,5.38,0.68,gdal_viewshed,0.4707,1.0,0.5077,0.3674,0.4622,0.0524,0.5077,0.835,0.5239
B030,0.0,-1.06,10.0,gdal_viewshed,0.3748,0.8,0.3916,0.2724,0.3524,0.0,0.3916,0.9986,0.4722
B031,0.0559,18.23,1.24,gdal_viewshed,0.662,1.0,0.5727,0.4266,0.521,0.0559,0.5727,0.9765,0.6107
B032,0.1258,-7.18,12.95,gdal_viewshed,0.2837,0.682,0.3639,0.2844,0.34,0.1258,0.3639,0.9808,0.4554
B033,0.1085,1.12,0.45,gdal_viewshed,0.4073,1.0,0.5053,0.3764,0.4656,0.1085,0.5053,1.0,0.5547
B034,0.0458,10.55,9.66,gdal_viewshed,0.5477,0.8136,0.4691,0.3499,0.4267,0.0458,0.4691,0.9839,0.5376
B035,0.2852,-2.31,24.5,gdal_viewshed,0.3562,0.22,0.2871,0.2935,0.2869,0.2852,0.2871,1.0,0.4364
B036,0.0,8.51,5.6,gdal_viewshed,0.5173,0.976,0.4978,0.3504,0.448,0.0,0.4978,0.8544,0.5213
B037,0.0,-7.47,4.24,gdal_viewshed,0.2794,1.0,0.4265,0.2838,0.3838,0.0,0.4265,0.9876,0.4813
B038,0.0706,0.32,1.09,gdal_viewshed,0.3954,1.0,0.4887,0.3539,0.4469,0.0706,0.4887,0.9217,0.5241
B039,0.0,-2.89,0.89,gdal_viewshed,0.3476,1.0,0.4493,0.3043,0.4043,0.0,0.4493,0.9778,0.4998
B040,0.0,-19.98,9.19,gdal_viewshed,0.0932,0.8324,0.3086,0.1944,0.2777,0.0,0.3086,0.9621,0.3869
B041,0.0,-7.09,0.45,gdal_viewshed,0.2851,1.0,0.4284,0.2855,0.3855,0.0,0.4284,0.9937,0.4843
B042,0.0,-9.6,20.42,gdal_viewshed,0.2477,0.3832,0.2103,0.151,0.1893,0.0,0.2103,0.967,0.3444
